Code,Name
U+1FAA1,  sewing needle
U+1F9F6,yarn
U+1FAA2,  knot
U+1F453,glasses
U+1F576,sunglasses
U+1F97D,goggles
U+1F97C,lab coat
U+1F454,necktie
U+1F455,t shirt
U+1F456,jeans
U+1F9E3,scarf
U+1F9E4,gloves
U+1F9E5,coat
U+1F9E6,socks
U+1F457,dress
U+1F458,kimono
U+1F97B,sari
U+1FA71,one piece swimsuit
U+1FA72,briefs
U+1FA73,shorts
U+1F459,bikini
U+1F45A,woman s clothes
U+1F45B,purse
U+1F45C,handbag
U+1F45D,clutch bag
U+1F6CD,shopping bags
U+1F392,backpack
U+1FA74,  thong sandal
U+1F45E,man s shoe
U+1F45F,running shoe
U+1F97E,hiking boot
U+1F97F,flat shoe
U+1F460,high heeled shoe
U+1F461,woman s sandal
U+1FA70,ballet shoes
U+1F462,woman s boot
U+1F451,crown
U+1F452,woman s hat
U+1F3A9,top hat
U+1F9E2,billed cap
U+1FA96,  military helmet
U+26D1,rescue worker s helmet
U+1F4FF,prayer beads
U+1F484,lipstick
U+1F48D,ring
U+1F48E,gem stone
U+1F507,muted speaker
U+1F508,speaker low volume
U+1F509,speaker medium volume
U+1F50A,speaker high volume
U+1F4E2,loudspeaker
U+1F4E3,megaphone
U+1F4EF,postal horn
U+1F514,bell
U+1F515,bell with slash
U+1F3BC,musical score
U+1F3B5,musical note
U+1F3B6,musical notes
U+1F399,studio microphone
U+1F39A,level slider
U+1F39B,control knobs
U+1F3A7,headphone
U+1F4FB,radio
U+1F3B7,saxophone
U+1FA97,  accordion
U+1F3B8,guitar
U+1F3B9,musical keyboard
U+1F3BA,trumpet
U+1F3BB,violin
U+1FA95,banjo
U+1F941,drum
U+1FA98,  long drum
U+1F4F1,mobile phone
U+1F4F2,mobile phone with arrow
U+260E,telephone
U+1F4DE,telephone receiver
U+1F4DF,pager
U+1F4E0,fax machine
U+1F50B,battery
U+1F50C,electric plug
U+1F5A5,desktop computer
U+1F5A8,printer
U+2328,keyboard
U+1F5B1,computer mouse
U+1F5B2,trackball
U+1F4BD,computer disk
U+1F4BE,floppy disk
U+1F4BF,optical disk
U+1F4C0,dvd
U+1F9EE,abacus
U+1F3A5,movie camera
U+1F39E,film frames
U+1F4FD,film projector
U+1F3AC,clapper board
U+1F4FA,television
U+1F4F7,camera
U+1F4F8,camera with flash
U+1F4F9,video camera
U+1F4FC,videocassette
U+1F50D,magnifying glass tilted left
U+1F50E,magnifying glass tilted right
U+1F56F,candle
U+1F4A1,light bulb
U+1F526,flashlight
U+1F3EE,red paper lantern
U+1FA94,diya lamp
U+1F4D4,notebook with decorative cover
U+1F4D5,closed book
U+1F4D6,open book
U+1F4D7,green book
U+1F4D8,blue book
U+1F4D9,orange book
U+1F4DA,books
U+1F4D3,notebook
U+1F4D2,ledger
U+1F4C3,page with curl
U+1F4DC,scroll
U+1F4C4,page facing up
U+1F4F0,newspaper
U+1F5DE,rolled up newspaper
U+1F4D1,bookmark tabs
U+1F516,bookmark
U+1F3F7,label
U+1F4B0,money bag
U+1FA99,  coin
U+1F4B4,yen banknote
U+1F4B5,dollar banknote
U+1F4B6,euro banknote
U+1F4B7,pound banknote
U+1F4B8,money with wings
U+1F4B3,credit card
U+1F9FE,receipt
U+1F4B9,chart increasing with yen
U+2709,envelope
U+1F4E7,e mail
U+1F4E8,incoming envelope
U+1F4E9,envelope with arrow
U+1F4E4,outbox tray
U+1F4E5,inbox tray
U+1F4E6,package
U+1F4EB,closed mailbox with raised flag
U+1F4EA,closed mailbox with lowered flag
U+1F4EC,open mailbox with raised flag
U+1F4ED,open mailbox with lowered flag
U+1F4EE,postbox
U+1F5F3,ballot box with ballot
U+270F,pencil
U+2712,black nib
U+1F58B,fountain pen
U+1F58A,pen
U+1F58C,paintbrush
U+1F58D,crayon
U+1F4DD,memo
U+1F4C1,file folder
U+1F4C2,open file folder
U+1F5C2,card index dividers
U+1F4C5,calendar
U+1F4C6,tear off calendar
U+1F5D2,spiral notepad
U+1F5D3,spiral calendar
U+1F4C7,card index
U+1F4C8,chart increasing
U+1F4C9,chart decreasing
U+1F4CA,bar chart
U+1F4CB,clipboard
U+1F4CC,pushpin
U+1F4CD,round pushpin
U+1F4CE,paperclip
U+1F587,linked paperclips
U+1F4CF,straight ruler
U+1F4D0,triangular ruler
U+2702,scissors
U+1F5C3,card file box
U+1F5C4,file cabinet
U+1F5D1,wastebasket
U+1F512,locked
U+1F513,unlocked
U+1F50F,locked with pen
U+1F510,locked with key
U+1F511,key
U+1F5DD,old key
U+1F528,hammer
U+1FA93,axe
U+26CF,pick
U+2692,hammer and pick
U+1F6E0,hammer and wrench
U+1F5E1,dagger
U+2694,crossed swords
U+1F52B,pistol
U+1FA83,  boomerang
U+1F3F9,bow and arrow
U+1F6E1,shield
U+1FA9A,  carpentry saw
U+1FA9B,  screwdriver
U+1F529,nut and bolt
U+2699,gear
U+1F5DC,clamp
U+1F517,link
U+26D3,chains
U+1FA9D,  hook
U+1F9F0,toolbox
U+1F9F2,magnet
U+1FA9C,  ladder
U+2697,alembic
U+1F9EA,test tube
U+1F9EB,petri dish
U+1F9EC,dna
U+1F52D,telescope
U+1F4E1,satellite antenna
U+1F489,syringe
U+1FA78,drop of blood
U+1F48A,pill
U+1FA79,adhesive bandage
U+1FA7A,stethoscope
U+1F6AA,door
U+1F6D7,  elevator
U+1FA9E,  mirror
U+1FA9F,  window
U+1F6CF,bed
U+1F6CB,couch and lamp
U+1FA91,chair
U+1F6BD,toilet
U+1FAA0,  plunger
U+1F6BF,shower
U+1F6C1,bathtub
U+1FAA4,  mouse trap
U+1FA92,razor
U+1F9F4,lotion bottle
U+1F9F7,safety pin
U+1F9F9,broom
U+1F9FA,basket
U+1F9FB,roll of paper
U+1FAA3,  bucket
U+1F9FC,soap
U+1FAA5,  toothbrush
U+1F9FD,sponge
U+1F9EF,fire extinguisher
U+1F6D2,shopping cart
U+1F6AC,cigarette
U+26B0,coffin
U+1FAA6,  headstone
U+26B1,funeral urn
U+1F5FF,moai
U+1FAA7,  placard
U+1F3E7,ATM sign
U+1F6AE,litter in bin sign
U+1F6B0,potable water
U+267F,wheelchair symbol
U+1F6B9,men s room
U+1F6BA,women s room
U+1F6BB,restroom
U+1F6BC,baby symbol
U+1F6BE,water closet
U+1F6C2,passport control
U+1F6C3,customs
U+1F6C4,baggage claim
U+1F6C5,left luggage
U+26A0,warning
U+1F6B8,children crossing
U+26D4,no entry
U+1F6AB,prohibited
U+1F6B3,no bicycles
U+1F6AD,no smoking
U+1F6AF,no littering
